year,team,conference,rating,ranking,secondOrderWins,sos,offense.ranking,offense.rating,offense.success,offense.explosiveness,offense.rushing,offense.passing,offense.standardDowns,offense.passingDowns,offense.runRate,offense.pace,defense.ranking,defense.rating,defense.success,defense.explosiveness,defense.rushing,defense.passing,defense.standardDowns,defense.passingDowns,defense.havoc.total,defense.havoc.frontSeven,defense.havoc.db,specialTeams.rating
2021,Houston,Big 12,10.9,31.0,,,51.0,31.5,,,,,,,,,18.0,20.0,,,,,,,,,,
2021,Miami,ACC,10.8,32.0,,,25.0,34.8,,,,,,,,,51.0,25.0,,,,,,,,,,
2021,Fresno State,Mountain West,10.8,32.0,,,27.0,34.7,,,,,,,,,49.0,24.2,,,,,,,,,,
2021,Mississippi State,SEC,10.5,34.0,,,28.0,34.6,,,,,,,,,33.0,22.0,,,,,,,,,,
2021,App State,Sun Belt,10.3,35.0,,,49.0,32.0,,,,,,,,,41.0,23.5,,,,,,,,,,
2021,Nebraska,Big Ten,10.3,35.0,,,33.0,34.1,,,,,,,,,27.0,21.3,,,,,,,,,,
2021,Purdue,Big Ten,10.3,35.0,,,44.0,32.6,,,,,,,,,25.0,21.1,,,,,,,,,,
2021,Oregon,Big Ten,10.2,38.0,,,22.0,35.0,,,,,,,,,60.0,26.0,,,,,,,,,,
2021,Wake Forest,ACC,10.1,39.0,,,10.0,38.0,,,,,,,,,92.0,29.2,,,,,,,,,,
2021,Texas Tech,Big 12,9.8,40.0,,,28.0,34.6,,,,,,,,,69.0,27.1,,,,,,,,,,
2021,UCLA,Big Ten,9.4,41.0,,,12.0,37.7,,,,,,,,,76.0,27.8,,,,,,,,,,
2021,Boise State,Mountain West,9.4,41.0,,,69.0,28.4,,,,,,,,,23.0,20.8,,,,,,,,,,
2021,UAB,American Athletic,9.1,43.0,,,47.0,32.1,,,,,,,,,30.0,21.7,,,,,,,,,,
2021,Oregon State,Pac-12,8.9,44.0,,,16.0,36.9,,,,,,,,,87.0,28.5,,,,,,,,,,
2021,SMU,ACC,8.9,44.0,,,18.0,36.7,,,,,,,,,69.0,27.1,,,,,,,,,,
2021,BYU,Big 12,8.9,44.0,,,14.0,37.2,,,,,,,,,78.0,27.9,,,,,,,,,,
2021,Louisiana,Sun Belt,8.7,47.0,,,54.0,30.3,,,,,,,,,26.0,21.2,,,,,,,,,,
2021,Texas,SEC,8.5,48.0,,,28.0,34.6,,,,,,,,,85.0,28.4,,,,,,,,,,
2021,Liberty,Conference USA,8.4,49.0,,,47.0,32.1,,,,,,,,,38.0,23.1,,,,,,,,,,
2021,San Diego State,Mountain West,8.3,50.0,,,92.0,23.7,,,,,,,,,12.0,17.1,,,,,,,,,,
2021,Marshall,Sun Belt,8.0,51.0,,,43.0,32.8,,,,,,,,,41.0,23.5,,,,,,,,,,
2021,Louisville,ACC,7.8,52.0,,,24.0,34.9,,,,,,,,,64.0,26.6,,,,,,,,,,
2021,Florida State,ACC,7.6,53.0,,,58.0,29.8,,,,,,,,,37.0,23.0,,,,,,,,,,
2021,Air Force,Mountain West,7.4,54.0,,,57.0,30.0,,,,,,,,,33.0,22.0,,,,,,,,,,
2021,Virginia,ACC,7.2,55.0,,,8.0,39.3,,,,,,,,,100.0,31.5,,,,,,,,,,
2021,Toledo,Mid-American,6.9,56.0,,,65.0,29.0,,,,,,,,,21.0,20.7,,,,,,,,,,
2021,Washington State,Pac-12,6.7,57.0,,,49.0,32.0,,,,,,,,,60.0,26.0,,,,,,,,,,
2021,UTSA,American Athletic,6.5,58.0,,,42.0,33.0,,,,,,,,,76.0,27.8,,,,,,,,,,
2021,North Carolina,ACC,6.4,59.0,,,11.0,37.8,,,,,,,,,101.0,31.7,,,,,,,,,,
2021,Maryland,Big Ten,6.2,60.0,,,25.0,34.8,,,,,,,,,74.0,27.4,,,,,,,,,,
2021,Tulsa,American Athletic,5.8,61.0,,,67.0,28.7,,,,,,,,,48.0,24.0,,,,,,,,,,
2021,UCF,Big 12,4.8,62.0,,,60.0,29.6,,,,,,,,,40.0,23.4,,,,,,,,,,
2021,Army,American Athletic,4.7,63.0,,,66.0,28.8,,,,,,,,,41.0,23.5,,,,,,,,,,
2021,Illinois,Big Ten,4.3,64.0,,,98.0,23.2,,,,,,,,,32.0,21.8,,,,,,,,,,
2021,LSU,SEC,4.1,65.0,,,72.0,28.0,,,,,,,,,57.0,25.6,,,,,,,,,,
2021,South Carolina,SEC,3.9,66.0,,,86.0,26.0,,,,,,,,,49.0,24.2,,,,,,,,,,
2021,Nevada,Mountain West,3.6,67.0,,,54.0,30.3,,,,,,,,,68.0,26.9,,,,,,,,,,
2021,California,ACC,3.4,68.0,,,77.0,27.5,,,,,,,,,51.0,25.0,,,,,,,,,,
2021,Missouri,SEC,3.1,69.0,,,52.0,31.1,,,,,,,,,97.0,29.9,,,,,,,,,,
2021,Virginia Tech,ACC,2.4,70.0,,,85.0,26.7,,,,,,,,,54.0,25.2,,,,,,,,,,
2021,Georgia State,Sun Belt,1.8,71.0,,,77.0,27.5,,,,,,,,,65.0,26.7,,,,,,,,,,
2021,West Virginia,Big 12,1.8,71.0,,,75.0,27.7,,,,,,,,,51.0,25.0,,,,,,,,,,
2021,Miami (OH),Mid-American,1.5,73.0,,,63.0,29.3,,,,,,,,,67.0,26.8,,,,,,,,,,
2021,Memphis,American Athletic,1.0,74.0,,,60.0,29.6,,,,,,,,,78.0,27.9,,,,,,,,,,
2021,Boston College,ACC,0.9,75.0,,,83.0,27.0,,,,,,,,,63.0,26.5,,,,,,,,,,
2021,Wyoming,Mountain West,0.6,76.0,,,86.0,26.0,,,,,,,,,41.0,23.5,,,,,,,,,,
2021,Western Michigan,Mid-American,0.6,76.0,,,39.0,33.1,,,,,,,,,91.0,29.0,,,,,,,,,,
2021,East Carolina,American Athletic,0.5,78.0,,,79.0,27.4,,,,,,,,,83.0,28.3,,,,,,,,,,
2021,Syracuse,ACC,0.3,79.0,,,81.0,27.1,,,,,,,,,54.0,25.2,,,,,,,,,,
2021,Utah State,Mountain West,0.1,80.0,,,69.0,28.4,,,,,,,,,78.0,27.9,,,,,,,,,,
2021,USC,Big Ten,-0.6,81.0,,,45.0,32.3,,,,,,,,,106.0,33.4,,,,,,,,,,
2021,TCU,Big 12,-0.6,81.0,,,38.0,33.2,,,,,,,,,109.0,33.9,,,,,,,,,,
2021,Washington,Big Ten,-0.7,83.0,,,101.0,22.8,,,,,,,,,45.0,23.6,,,,,,,,,,
2021,Central Michigan,Mid-American,-1.0,84.0,,,68.0,28.5,,,,,,,,,93.0,29.3,,,,,,,,,,
2021,San José State,Mountain West,-1.9,85.0,,,102.0,22.6,,,,,,,,,54.0,25.2,,,,,,,,,,
2021,Hawai'i,Mountain West,-2.3,86.0,,,81.0,27.1,,,,,,,,,98.0,30.1,,,,,,,,,,
2021,Colorado State,Mountain West,-2.4,87.0,,,97.0,23.3,,,,,,,,,59.0,25.9,,,,,,,,,,
2021,Rutgers,Big Ten,-3.0,88.0,,,109.0,20.8,,,,,,,,,46.0,23.7,,,,,,,,,,
2021,Tulane,American Athletic,-3.9,89.0,,,74.0,27.9,,,,,,,,,99.0,30.4,,,,,,,,,,
2021,Middle Tennessee,Conference USA,-4.0,90.0,,,90.0,24.0,,,,,,,,,69.0,27.1,,,,,,,,,,
2021,UTEP,Conference USA,-4.2,91.0,,,91.0,23.9,,,,,,,,,83.0,28.3,,,,,,,,,,
2021,Florida Atlantic,American Athletic,-5.2,92.0,,,99.0,23.1,,,,,,,,,85.0,28.4,,,,,,,,,,
2021,Kent State,Mid-American,-6.4,93.0,,,45.0,32.3,,,,,,,,,120.0,36.9,,,,,,,,,,
2021,North Texas,American Athletic,-6.5,94.0,,,99.0,23.1,,,,,,,,,87.0,28.5,,,,,,,,,,
2021,Troy,Sun Belt,-6.5,94.0,,,114.0,20.1,,,,,,,,,65.0,26.7,,,,,,,,,,
2021,Georgia Tech,ACC,-6.7,96.0,,,83.0,27.0,,,,,,,,,103.0,32.4,,,,,,,,,,
2021,Northern Illinois,Mid-American,-7.1,97.0,,,62.0,29.4,,,,,,,,,116.0,36.1,,,,,,,,,,
2021,South Alabama,Sun Belt,-7.2,98.0,,,106.0,21.4,,,,,,,,,81.0,28.0,,,,,,,,,,
2021,Old Dominion,Sun Belt,-7.4,99.0,,,107.0,21.2,,,,,,,,,81.0,28.0,,,,,,,,,,
2021,Indiana,Big Ten,-7.8,100.0,,,112.0,20.4,,,,,,,,,72.0,27.3,,,,,,,,,,
2021,Eastern Michigan,Mid-American,-7.8,100.0,,,80.0,27.2,,,,,,,,,122.0,37.2,,,,,,,,,,
2021,Navy,American Athletic,-8.5,102.0,,,115.0,20.0,,,,,,,,,75.0,27.7,,,,,,,,,,
2021,Buffalo,Mid-American,-9.5,103.0,,,89.0,24.6,,,,,,,,,105.0,33.1,,,,,,,,,,
2021,Colorado,Big 12,-10.0,104.0,,,120.0,18.8,,,,,,,,,94.0,29.6,,,,,,,,,,
2021,Stanford,ACC,-10.2,105.0,,,104.0,22.2,,,,,,,,,107.0,33.6,,,,,,,,,,
2021,Northwestern,Big Ten,-11.1,106.0,,,118.0,19.4,,,,,,,,,72.0,27.3,,,,,,,,,,
2021,Ball State,Mid-American,-11.2,107.0,,,105.0,21.6,,,,,,,,,108.0,33.7,,,,,,,,,,
2021,Louisiana Tech,Conference USA,-11.6,108.0,,,93.0,23.6,,,,,,,,,112.0,34.4,,,,,,,,,,
2021,Ohio,Mid-American,-11.6,108.0,,,88.0,25.1,,,,,,,,,114.0,35.2,,,,,,,,,,
2021,South Florida,American Athletic,-12.1,110.0,,,95.0,23.5,,,,,,,,,117.0,36.2,,,,,,,,,,
2021,Bowling Green,Mid-American,-12.4,111.0,,,125.0,17.1,,,,,,,,,95.0,29.8,,,,,,,,,,
2021,Arizona,Big 12,-12.6,112.0,,,119.0,19.2,,,,,,,,,102.0,32.3,,,,,,,,,,
2021,Duke,ACC,-13.5,113.0,,,96.0,23.4,,,,,,,,,118.0,36.3,,,,,,,,,,
2021,Charlotte,American Athletic,-13.7,114.0,,,76.0,27.6,,,,,,,,,127.0,41.2,,,,,,,,,,
2021,UNLV,Mountain West,-13.8,115.0,,,116.0,19.9,,,,,,,,,104.0,33.0,,,,,,,,,,
2021,Southern Miss,Sun Belt,-14.2,116.0,,,128.0,15.0,,,,,,,,,89.0,28.6,,,,,,,,,,
2021,Georgia Southern,Sun Belt,-15.3,117.0,,,121.0,18.4,,,,,,,,,110.0,34.0,,,,,,,,,,
2021,Texas State,Sun Belt,-16.0,118.0,,,110.0,20.7,,,,,,,,,120.0,36.9,,,,,,,,,,
2021,Arkansas State,Sun Belt,-17.9,119.0,,,108.0,21.0,,,,,,,,,124.0,40.0,,,,,,,,,,
2021,New Mexico,Mountain West,-18.6,120.0,,,130.0,11.6,,,,,,,,,95.0,29.8,,,,,,,,,,
2021,Temple,American Athletic,-19.1,121.0,,,123.0,17.5,,,,,,,,,111.0,34.1,,,,,,,,,,
2021,Vanderbilt,SEC,-19.4,122.0,,,124.0,17.4,,,,,,,,,115.0,35.6,,,,,,,,,,
2021,Kansas,Big 12,-19.7,123.0,,,103.0,22.3,,,,,,,,,126.0,40.6,,,,,,,,,,
2021,UL Monroe,Sun Belt,-20.3,124.0,,,127.0,15.6,,,,,,,,,113.0,35.1,,,,,,,,,,
2021,Florida International,Conference USA,-21.6,125.0,,,116.0,19.9,,,,,,,,,125.0,40.2,,,,,,,,,,
2021,Rice,American Athletic,-22.9,126.0,,,122.0,18.2,,,,,,,,,123.0,38.3,,,,,,,,,,
2021,Akron,Mid-American,-23.1,127.0,,,113.0,20.3,,,,,,,,,128.0,41.7,,,,,,,,,,
2021,New Mexico State,Conference USA,-24.2,128.0,,,111.0,20.6,,,,,,,,,129.0,43.7,,,,,,,,,,
2021,UConn,FBS Independents,-25.6,129.0,,,129.0,12.7,,,,,,,,,119.0,36.8,,,,,,,,,,
2021,Massachusetts,Mid-American,-29.3,130.0,,,126.0,16.1,,,,,,,,,130.0,43.9,,,,,,,,,,
2021,nationalAverages,,1.9807692307692308,,,,,28.64923076923077,,,,,,,,,,26.674615384615386,,,,,,,,,,
